"subcategory";"category";"total_sales"
Phones;Technology;330007.0540
Chairs;Furniture;328449.1030
Storage;Office Supplies;223843.6080
Tables;Furniture;206965.5320
Binders;Office Supplies;203412.7330
Machines;Technology;189238.6310
Accessories;Technology;167380.3180
Copiers;Technology;149528.0300
Bookcases;Furniture;114879.9963
Appliances;Office Supplies;107532.1610
Furnishings;Furniture;91705.1640
Paper;Office Supplies;78479.2060
Supplies;Office Supplies;46673.5380
Art;Office Supplies;27118.7920
Envelopes;Office Supplies;16476.4020
Labels;Office Supplies;12486.3120
Fasteners;Office Supplies;3024.2800
